player_name,total_distance_avg,total_distance_recent,high_speed_distance_avg,high_speed_distance_recent,percentage_max_velocity_avg,percentage_max_velocity_recent,gen2_acceleration_band6plus_total_effort_count_avg,gen2_acceleration_band6plus_total_effort_count_recent,gen2_acceleration_band3plus_total_effort_count_avg,gen2_acceleration_band3plus_total_effort_count_recent,total_player_load_avg,total_player_load_recent,player_load_per_minute_avg,player_load_per_minute_recent,meterage_per_minute_avg,meterage_per_minute_recent,total_acceleration_load_avg,total_acceleration_load_recent,Jump Height (Flight Time)_avg,Jump Height (Flight Time)_recent,RSI-Modified_avg,RSI-Modified_recent,Concentric Mean Force_avg,Concentric Mean Force_recent,leftAvgForce_avg,leftAvgForce_recent,leftImpulse_avg,leftImpulse_recent,leftMaxForce_avg,leftMaxForce_recent,leftTorque_avg,leftTorque_recent,rightAvgForce_avg,rightAvgForce_recent,rightImpulse_avg,rightImpulse_recent,rightMaxForce_avg,rightMaxForce_recent,rightTorque_avg,rightTorque_recent
Player 19,4088.708435794581,2570.2086678174046,195.49765782964988,78.38395016305793,82.98985869719242,58.15928977023363,118.0,72.0,112.0,66.0,434.9943508557418,232.1735211727181,5.799471513188549,4.712852342098889,67.62823375857006,52.28211227865725,1268.5535678496606,764.1524876248765,32.46780265373171,36.82512712745907,34.33445831896343,38.58188228735016,487.5317598197864,495.4742941544596,260.0557057501456,241.13854500002824,3122.513652912649,2469.0547472235908,298.13423873148935,276.4812889588875,133.92338130649838,115.3405434207982,290.2202807698,276.7410550061004,3160.4388295422955,2966.450941431817,280.54694713269214,322.44261319446747,139.65079152988167,144.99229441896023
Player 2,4954.578380177682,4005.327436314435,249.46132945280692,126.00608585793488,72.10027762329977,55.18184049608641,147.0,120.0,138.0,113.0,564.105564938138,471.2315978674513,6.375779659649984,4.45385401932854,57.98240254835787,44.71861210009023,1610.658364389391,1271.1322944137055,,,,,,,,,,,,,,,,,,,,,,
Player 20,4841.232250244346,4511.609936672718,79.1966980071316,56.3107325350398,75.39693242331023,66.62931875952333,113.0,98.0,103.0,94.0,478.38959485803866,444.1977286295371,6.205116464022064,5.1289531690740375,52.17057944564522,44.911449238681,1417.9354572249235,1291.1659429018323,23.617802398240347,23.43848801752114,30.53971579265268,26.57502028988081,643.8066652582285,703.569913243742,267.0355412263267,237.19091281699505,2222.600493098204,1554.4670984105103,245.38318143847383,266.2839468583049,128.96503096829878,113.08780272190556,277.04989768298674,269.350781356723,2560.64503432736,1613.4218864518816,283.36788624752324,309.80253903065045,146.20256355990577,156.7408054299442
Player 21,4907.47961925052,4299.196276116491,191.7194115031355,142.30397945876894,81.93879461495486,61.41356726119709,154.0,134.0,149.0,121.0,501.8177095869313,517.1969743559418,6.796868204847718,6.201451700030694,74.0241003708909,62.47655582531109,1508.8580049488407,1285.0040919051046,37.392777282076565,33.82805721111636,43.349363267745055,83.97201880814166,590.1864014711637,573.2872403380841,257.6681061484729,264.3646311967858,2400.4028234732427,2664.3632144988264,265.7433715431797,278.29737801458543,111.13530287690024,110.81842466620586,287.2340664411345,293.5855798444872,2484.596556037269,2492.6211338608823,271.6107402594685,300.0793165697055,117.43107382449692,120.07570291421293
Player 22,3955.618416631461,3162.1808677089466,195.92879357795283,89.17264570819636,83.13465200580978,68.99455355519031,116.0,89.0,113.0,90.0,381.4982077310981,297.8834072583755,6.626822506204963,6.106211586687252,60.22214182536016,61.734232801649725,1227.8637671589008,933.3264327765504,31.434860295499995,37.64513428617995,46.555830833126784,46.30280598975085,643.3241867804039,642.4284403469502,327.2343928548546,374.5623684676476,3391.8019638604983,3504.171343329415,336.60193797652767,379.2390770738238,149.63411376666545,180.7317130298366,315.4214171526134,335.1025154014737,2797.3191878503817,3334.4553403109567,309.19338664580897,339.5963400319104,156.9502008839848,182.34423168908677
Player 23,3087.76312444147,367.2869286607561,133.96783773169776,0.0,63.764901040393966,12.565404420301698,77.0,0.0,76.0,0.0,361.18574018465335,35.598361341608715,4.875069454830952,0.7942748549935741,47.29829718095387,7.679240853306764,1025.8880074280369,113.12061559577366,37.700913703159,35.45321612615205,39.49199665263323,40.8665036573798,522.2099612371878,533.6251833011645,269.054901792574,255.29243351171093,2005.259217510834,1635.927881716901,281.8736881619154,277.21076960023515,114.50985277553708,121.76837505040096,252.3947632481854,299.4527852721119,1919.6439207501512,1919.287193123561,294.7121040876707,327.0876733831889,131.7034867712361,138.75400004929242
Player 24,2492.4375046861883,,17.99400681920681,,65.17072140678381,,43.0,,37.0,,284.74633318198306,,4.916104633029171,,38.7597936371119,,1031.848147521809,,35.24067927177247,38.65633828114783,40.58571482324839,44.949486711902274,557.8897084021067,529.3974542787436,228.2023641779485,246.6823657077484,1923.4374624454376,1921.9450768343115,253.74531759789903,246.7239991946553,91.16613623669213,81.29779862797771,255.4975345000421,267.00743309273844,2120.5266612202327,1968.604604445905,280.310862171722,248.5538388171165,114.9931690789836,109.75819795244344
Player 25,4558.519337539147,4877.172397684661,186.429718598975,204.7694239436776,81.37947622323831,62.22443886736921,136.0,123.0,122.0,109.0,555.7653587525191,506.14036185584814,8.180525481382507,6.473185476501932,65.34720077727481,51.8575883377816,1343.8014277237958,1206.070129586656,28.43917452241997,29.027037253868,37.57095692940318,39.01227080914872,643.2042095142458,670.107248714358,305.95135065734115,286.51822839756073,2502.5867103910387,1650.750039271472,347.2344171352988,343.955222505727,129.9835567458471,142.4674242020551,340.98678125231464,282.60246678673406,2454.3746799887504,1716.6948733144184,339.0124467716927,348.4722471608348,138.33559405554,147.72255937876747
Player 26,5164.536436400103,5124.190549893724,166.38498711129665,128.49834197746088,84.49979404870524,69.0941681861372,164.0,171.0,159.0,158.0,622.5886595485963,669.5942905622198,8.926729374986355,8.122025267509235,80.27440439174323,72.68862149471968,1447.291675364882,1410.597978808402,26.444705402773355,25.1370355271627,31.7521697673316,25.906283394340857,502.78689886835446,480.114083501732,285.36958011406887,331.5174136362321,3135.18746145445,3635.0896174848494,297.98233922388323,329.5787365045491,126.57530982512488,140.89221286520694,301.2912991133149,301.2360069427104,3139.677504805976,3304.995317695893,330.9162221158935,288.0485141269296,142.0978985955443,146.6746120759425
Player 27,5504.44244238494,,242.7677159463244,,76.44719170112073,,168.0,,163.0,,581.9113946723769,,7.457056907276838,,76.05775364295937,,1683.4618396036444,,27.6782761087094,29.01676348447999,35.68343916367304,33.4775419866619,427.8505721262529,457.2743330956301,,,,,,,,,,,,,,,,
Player 28,3591.664878438536,4791.453301940411,149.70998925441967,169.57849177242227,58.25027668645951,70.97909524062376,89.0,130.0,80.0,117.0,436.085761888294,525.8155191026302,5.295404870881981,6.4316005733569135,50.19354062832973,54.38883156079361,1060.871514049442,1272.4289505556533,41.99437797616927,35.22939312754149,70.0450115832702,50.30527584915024,530.8162705853913,163.52966005877005,293.4818192217057,267.3915474216463,1880.4486946421173,1563.7271474444108,311.4134972741681,308.738974375746,125.00904438512018,115.1084214902828,302.0729995546422,316.2151676637309,1988.8835851400368,1616.3727377072198,302.73909114947145,329.6427462518133,142.01743011450247,142.18963320735386
Player 29,4747.166602567116,4020.5592996533246,179.1328192908881,100.2286967548692,76.73087268484943,68.28212918540818,150.0,145.0,142.0,135.0,471.7424893508407,506.953704215505,7.444219786644125,7.4288654470593585,61.419715488630544,56.02611814639457,1443.9103542169316,1374.4782262533054,34.98010336949932,36.81104357891232,47.30936558245621,32.55503777121405,532.9714754595898,527.6917324881268,277.0079255892873,246.00191067361465,2015.982426743323,1723.4738913953577,252.1895036931606,294.11940979142474,117.1779507609986,133.59056856244007,278.10247541133526,266.5361492623033,1958.9919636346224,2082.514007555827,281.0510082072688,281.4124609897485,130.35392051250562,143.87976252218917
Player 3,5056.244677177883,4035.338125950142,194.2709430859466,115.8468898922207,83.30568620722518,66.437861932914,151.0,118.0,148.0,105.0,631.975055295566,496.8914459331104,8.51968171773599,6.231835266998324,69.37551166715265,53.71828480574676,1564.4932506140324,1081.4992475688298,31.21482182367443,32.60093446037301,43.9270451416631,38.7952492737903,487.8102927951808,519.567234975948,262.68937919539354,291.3750948399009,2257.129306889713,1469.9821097256593,261.16066614927735,292.43009665872086,106.48438233808211,119.20970569784376,262.61049302153776,329.54881339987503,2692.437170457538,2176.1793373498804,307.69634532953967,349.03915884469365,135.32706754870588,145.0904450755653
Player 30,4915.494801047406,,164.67341550297522,,82.58496641093464,,159.0,,151.0,,608.0849175428579,,8.76834835998941,,66.57765020514108,,1658.2008154914624,,32.40435536598002,30.143316367588127,48.449200854987765,31.50733036016099,538.6761113132764,560.6545149320513,,,,,,,,,,,,,,,,
Player 31,4660.693449253579,,130.78108737756202,,78.96780933980746,,122.0,,119.0,,537.5763671723558,,7.430504290872024,,66.06378780051878,,1263.0836474667458,,31.193171745543093,32.71577805672919,44.22016531678344,46.24142540790331,548.0922766876398,596.0469058494626,245.1486568522022,223.51834922234107,1886.537953463121,2220.2406746946376,250.158851737134,247.99489442513575,98.40939701573828,90.95093901031667,264.4924157316371,248.7194397689399,2503.8744277216106,2543.923744333082,300.0397792188035,258.2725156909951,112.72289928893628,108.14356612976488
Player 32,6311.008382889925,,204.10881960210847,,80.58458722452318,,169.0,,162.0,,607.9739959914219,,7.994517207471287,,76.04900651084282,,1643.4876998659408,,34.39010976022682,35.820256189775755,38.88332469561811,35.72318138107622,535.0128316415995,469.7677035467357,,,,,,,,,,,,,,,,
Player 33,3074.618079916054,,12.17630527800586,,71.47160686307753,,39.0,,35.0,,338.11614336600087,,3.824251629241045,,42.12660177670033,,1221.5015349070106,,28.08233979820229,32.77347041514162,36.645544432743804,38.96460574538993,744.640388420743,760.9916971073897,279.29429863496466,300.0669033332055,2669.3886653269446,2600.0885439610856,295.5936841649608,294.6771988444859,111.79412988523738,120.42014531988912,267.52532935175594,273.4514379500166,2358.742366794633,2553.9971472090256,286.98253625634703,290.3941217790237,118.59774400766176,116.07174145299014
