player_name,player_id,vald_id,Jump Height (Flight Time)_avg,Jump Height (Flight Time)_recent,Jump Height (Flight Time)_n,RSI-Modified_avg,RSI-Modified_recent,RSI-Modified_n,Peak Power / BM_avg,Peak Power / BM_recent,Peak Power / BM_n,Countermovement Depth_avg,Countermovement Depth_recent,Countermovement Depth_n,Concentric Mean Force_avg,Concentric Mean Force_recent,Concentric Mean Force_n
Player 24,24,24,35.24067927177247,38.656338281147825,21,40.58571482324839,44.949486711902274,19,50.226101017225524,45.731371805832055,21,-39.723967643935055,-38.49583413226737,20,557.8897084021067,529.3974542787436,81
Player 41,41,41,33.09005123164314,33.37163124794148,41,30.746393326735237,37.58029468688022,40,48.95938855406552,48.25426217386961,40,-37.38085401412001,-32.566664879764616,42,642.3754920837645,632.3347955727429,165
Player 30,30,30,32.40435536598002,30.143316367588127,30,48.449200854987765,31.50733036016099,29,49.45502640931184,47.92261688050632,30,-20.41345312652948,-30.649218192459543,30,538.6761113132764,560.6545149320513,116
Player 28,28,28,41.99437797616927,35.22939312754149,41,70.0450115832702,50.30527584915024,41,4959.152993627608,116243.60764129888,39,-32.37746880547284,0.0,41,530.8162705853913,163.52966005877005,159
Player 31,31,31,31.193171745543093,32.71577805672919,21,44.220165316783444,46.24142540790331,21,41.40647469085356,42.82141159342829,20,-28.115173448901505,-28.518404561817523,19,548.0922766876398,596.0469058494626,80
Player 13,13,13,31.120965778640233,31.887817855179943,17,31.220342491776947,33.119243282901365,20,44.049161821557725,44.68785608101097,16,-40.43420066825062,-40.38459800149214,19,550.3007035163871,530.105576922289,73
Player 4,4,4,33.48192128627053,33.88423414496884,33,42.74399073272651,34.658997140806534,32,50.223493638648215,50.53837081230054,32,-33.24374181200038,-39.24402220618393,34,661.065676023149,640.1240980419534,133
Player 12,12,12,48.26430907684345,27.726418329826462,40,72.81042578273278,33.809524813654285,41,21984.52749876001,51.48077337244358,40,-33.22062123533806,-40.77960003917747,41,454.84197687663294,549.9334600869909,160
Player 34,34,34,27.359418138219077,30.457686995608384,20,32.056671868077366,35.338832817079066,21,41.39742790523731,38.14485769537974,19,-33.06020161713571,-31.104252428023972,20,607.6200764476753,645.2166975253192,79
Player 7,7,7,29.394017111036696,30.810639745721396,39,32.416321653557546,31.35377669136026,41,51.03442645198746,131.3870220998388,39,-29.826021978349253,-55.247904799070675,40,621.9263714704641,479.0267831004718,160
Player 22,22,22,31.434860295499995,37.64513428617995,20,46.555830833126784,46.302805989750844,17,58.03446811186438,48.11861267009421,19,-33.67219651290981,-36.8039986546634,18,643.3241867804039,642.4284403469502,81
Player 38,38,38,37.342539793666134,31.143571544448207,34,46.5665148302422,42.81667801282199,37,62.88391224937387,56.43966663077818,34,-40.82846688538598,-41.491016284999574,36,570.4422082581102,624.8342120363341,139
Player 10,10,10,29.507924105719304,32.3908907264906,39,57.37742564038154,58.1089053747413,38,42.239358039956784,41.057030719412104,40,-12.411885890761418,-17.113958192039668,38,552.1488670673194,647.665448895712,156
Player 32,32,32,34.39010976022682,35.820256189775755,38,38.88332469561811,35.72318138107622,39,68.3539326414638,45.854703889229256,40,-33.300940268222824,-33.471814506380476,41,535.0128316415995,469.76770354673573,158
Player 6,6,6,32.1606072335258,29.440707320843917,38,29.576075873443976,31.049112837040823,39,44.7120027247132,45.046920955703825,39,-35.667586059477586,-33.21896516400253,39,619.0716454233053,602.0339157087682,153
Player 36,36,36,27.73752663291081,27.39828456444051,36,24.24436307305691,25.22304875973633,38,50.312379428003695,46.607627120860705,37,-26.555365593009835,-29.036883444785808,38,537.8065287890564,579.3112096683601,153
Player 37,37,37,27.905919567801643,24.336338475498824,29,32.992852976860796,28.063657109443007,26,42.06943611943718,44.397068918877416,27,-28.626842718887087,0.0,29,507.92052520719494,361.64012784339195,106
Player 9,9,9,33.88682587835436,34.10733416294915,22,38.48123372010186,36.72062643952904,20,45.03897376039645,40.30816141431578,19,-36.285926743749016,-40.844801849140794,21,504.7565509403662,513.2866141520119,80
Player 33,33,33,28.08233979820229,32.77347041514162,21,36.645544432743804,38.96460574538993,18,64.87737796889893,45.63585930639511,19,-33.62155403690684,-34.46493301995604,20,744.640388420743,760.9916971073897,79
Player 3,3,3,31.21482182367443,32.60093446037301,41,43.9270451416631,38.7952492737903,40,46.810404203780564,51.47847142669724,40,-30.031429447153563,-30.77338090233793,39,487.81029279518077,519.567234975948,159
Player 15,15,15,35.16352929141813,33.65047356636473,38,39.25583990307435,32.673589265358245,35,59.082586841906945,55.641186602336255,36,-32.28631674497454,-32.627018223692005,35,602.5103206282345,671.9619101917193,143
Player 16,16,16,27.71623705101374,25.457958094348236,40,27.135838878070263,22.781645699628566,40,45.00933026338756,40.22797890977651,41,-47.509054270918945,-41.44044459690459,41,611.7634111794841,595.713948620224,155
Player 19,19,19,32.46780265373171,36.82512712745907,38,34.33445831896343,38.581882287350155,40,52.72367096415077,54.861123063417295,40,-41.51617238389939,-33.591593957747726,38,487.5317598197864,495.4742941544596,150
Player 27,27,27,27.678276108709397,29.01676348447999,19,35.68343916367304,33.4775419866619,20,51.37936694851562,46.249200987757895,19,-26.301980742479692,-28.950198026793533,20,427.8505721262529,457.2743330956301,82
Player 8,8,8,36.11692912863569,33.86867181807516,15,36.497169461751916,28.700047189938573,15,56.14559642504247,50.29872675816886,13,-35.50986614279157,-38.433591069225486,13,518.8025582964547,495.3486424047479,57
Player 5,5,5,37.56594973964464,34.85956301275186,39,34.024299838054844,39.442437912144904,38,51.44919882321167,63.26683539400965,39,-33.709736268024955,-24.18094030434999,40,575.3722598950302,595.3057913698879,156
Player 17,17,17,25.812869514849037,26.64788723539162,39,46.068440799711546,63.71663938118268,39,45.156654943523584,42.8406406025458,39,-17.346100130833605,-8.360300568253926,40,571.6802826959874,690.8662809961187,160
